                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.3943,                 3.4384,                 1.5844,                0.00501,                      1,                0.30678,                0.17331,                 1.0764,                 3.3462,                 1.2009,                 0.0847,                 0.0017,                 0.0017
                      1,                  1.193,                 1.6773,                 1.3333,                0.00495,                0.98939,                0.68178,                0.43681,                 1.0079,                 2.9661,                 1.2382,               0.068465,              0.0034654,              0.0034654
                      2,                 1.1604,                 1.0764,                 1.2378,                0.00499,                0.99735,                0.86518,                0.54469,                 1.1483,                 2.7431,                 1.2841,               0.052195,              0.0051951,              0.0051951
                      3,                 1.1517,                0.98456,                 1.2257,                0.99169,                0.31666,                0.91417,                0.60815,                 1.1516,                 2.2662,                   1.24,               0.035889,              0.0068891,              0.0068891
                      4,                 1.1924,                0.99553,                 1.2586,                0.88052,                0.75597,                0.89465,                 0.5482,                 1.2875,                 1.6243,                 1.2713,               0.019548,              0.0085476,              0.0085476
                      5,                 1.2279,                0.97169,                 1.2591,                0.81669,                0.74451,                0.82964,                0.50908,                 1.3429,                  1.402,                 1.4285,               0.009505,               0.009505,               0.009505
                      6,                 1.2453,                0.99828,                 1.2517,                 0.8102,                0.63407,                0.73081,                0.38449,                 1.6836,                 1.4377,                 1.7767,               0.009505,               0.009505,               0.009505
                      7,                  1.217,                0.94535,                 1.2575,                0.70171,                0.46175,                0.57866,                0.34033,                 1.5137,                 1.6244,                 1.5868,               0.009406,               0.009406,               0.009406
                      8,                 1.2017,                0.89844,                 1.2527,                0.35013,                0.24138,                0.15944,                0.08653,                  2.151,                 2.7537,                 2.0219,               0.009307,               0.009307,               0.009307
                      9,                 1.2123,                0.86982,                 1.2649,                0.59486,                0.41379,                 0.4619,                0.24839,                 1.8716,                 1.9974,                 1.9337,               0.009208,               0.009208,               0.009208
                     10,                 1.2014,                0.86133,                 1.2441,                0.40194,                0.26525,                0.28363,                0.14534,                 1.9683,                  2.649,                 2.0469,               0.009109,               0.009109,               0.009109
                     11,                 1.1617,                0.85373,                 1.2218,                0.59809,                0.47745,                0.51134,                0.25336,                 1.7401,                 1.8827,                 1.7472,                0.00901,                0.00901,                0.00901
                     12,                 1.1464,                0.80124,                 1.2182,                0.80695,                0.76504,                0.83731,                0.50168,                 1.3967,                 1.3115,                 1.5084,               0.008911,               0.008911,               0.008911
                     13,                 1.1798,                0.79932,                 1.2598,                0.83006,                0.66078,                 0.7876,                0.48858,                 1.3378,                 1.2639,                 1.4048,               0.008812,               0.008812,               0.008812
                     14,                 1.1668,                0.78671,                 1.2323,                0.77139,                0.70706,                0.80495,                0.51312,                 1.3025,                 1.4234,                 1.4084,               0.008713,               0.008713,               0.008713
                     15,                 1.1627,                0.76582,                 1.2324,                0.67052,                0.72149,                0.69041,                0.44328,                 1.2254,                 1.8684,                 1.3109,               0.008614,               0.008614,               0.008614
                     16,                 1.1456,                0.74254,                 1.2116,                0.85477,                0.81167,                0.89542,                0.57978,                 1.2153,                 1.0776,                 1.2682,               0.008515,               0.008515,               0.008515
                     17,                 1.1459,                0.73571,                 1.2257,                 0.8569,                0.84085,                0.90865,                0.55782,                 1.3811,                0.81644,                  1.416,               0.008416,               0.008416,               0.008416
                     18,                 1.1263,                0.74123,                 1.2054,                0.91226,                 0.8435,                0.90933,                0.57901,                 1.2617,                 0.8038,                 1.3245,               0.008317,               0.008317,               0.008317
                     19,                 1.1061,                0.70112,                 1.1966,                0.87066,                0.87496,                0.89942,                0.56169,                 1.2859,                0.82254,                 1.3254,               0.008218,               0.008218,               0.008218
                     20,                 1.1025,                 0.6929,                 1.1842,                0.89969,                0.90403,                0.94373,                0.63839,                  1.211,                0.68845,                 1.2667,               0.008119,               0.008119,               0.008119
                     21,                  1.091,                0.68155,                 1.1862,                0.90012,                0.81277,                0.89337,                0.57331,                 1.2949,                0.88646,                 1.3378,                0.00802,                0.00802,                0.00802
                     22,                 1.1088,                0.68419,                 1.2035,                0.87175,                0.82759,                0.90416,                0.61158,                  1.189,                 0.8373,                 1.2598,               0.007921,               0.007921,               0.007921
                     23,                 1.0813,                0.65742,                 1.1832,                0.86965,                 0.9202,                0.95357,                0.65073,                 1.1461,                0.70823,                 1.2094,               0.007822,               0.007822,               0.007822
                     24,                 1.0879,                0.67107,                 1.1907,                 0.8684,                0.87517,                0.93445,                0.62765,                 1.1436,                0.68892,                 1.2502,               0.007723,               0.007723,               0.007723
                     25,                 1.0812,                0.65728,                 1.1853,                0.94008,                0.89655,                0.94693,                0.64709,                 1.1207,                0.65131,                 1.1908,               0.007624,               0.007624,               0.007624
                     26,                 1.0704,                0.63791,                 1.1699,                0.94263,                0.93369,                0.96584,                0.66568,                  1.148,                0.60965,                 1.2194,               0.007525,               0.007525,               0.007525
                     27,                 1.0686,                0.64368,                 1.1801,                 0.9114,                0.90041,                0.95444,                 0.6437,                 1.1489,                0.72921,                 1.2499,               0.007426,               0.007426,               0.007426
                     28,                 1.0522,                0.62612,                 1.1594,                0.93101,                0.91247,                0.95767,                0.65205,                 1.1131,                0.64585,                 1.2193,               0.007327,               0.007327,               0.007327
                     29,                 1.0575,                0.63165,                 1.1706,                0.85266,                0.87497,                0.92595,                0.62455,                 1.1631,                0.75281,                 1.2787,               0.007228,               0.007228,               0.007228
                     30,                 1.0424,                0.61636,                 1.1746,                0.90879,                0.88859,                0.92303,                0.60573,                 1.2059,                0.71077,                 1.3179,               0.007129,               0.007129,               0.007129
                     31,                  1.053,                  0.626,                 1.1735,                0.84611,                0.80212,                0.88946,                0.58808,                 1.2192,                0.78348,                 1.3209,                0.00703,                0.00703,                0.00703
                     32,                 1.0329,                0.60876,                 1.1658,                0.81985,                0.77719,                0.85525,                0.54965,                 1.2605,                 1.1902,                  1.316,               0.006931,               0.006931,               0.006931
                     33,                 1.0436,                  0.616,                 1.1551,                0.89114,                0.77984,                0.87888,                   0.56,                 1.3015,                 0.8163,                 1.3094,               0.006832,               0.006832,               0.006832
                     34,                 1.0413,                0.60782,                 1.1626,                0.89656,                0.93103,                0.96354,                0.66511,                 1.1455,                0.58222,                 1.2554,               0.006733,               0.006733,               0.006733
                     35,                 1.0032,                0.58933,                 1.1454,                0.90561,                0.94164,                0.95639,                0.65943,                 1.1141,                0.59045,                 1.2566,               0.006634,               0.006634,               0.006634
                     36,                 1.0011,                0.58287,                 1.1517,                0.93091,                0.92929,                0.95315,                0.65134,                  1.122,                0.59649,                 1.2737,               0.006535,               0.006535,               0.006535
                     37,                 1.0093,                0.56745,                 1.1295,                 0.9286,                0.91777,                0.95064,                0.65121,                 1.1118,                0.64575,                 1.2354,               0.006436,               0.006436,               0.006436
                     38,                 1.0077,                0.57278,                  1.136,                 0.9426,                0.91472,                0.94816,                0.64729,                 1.1264,                0.64226,                 1.2521,               0.006337,               0.006337,               0.006337
                     39,                0.98844,                0.57308,                 1.1376,                0.93664,                0.93634,                0.96844,                0.68528,                 1.0874,                0.55829,                  1.241,               0.006238,               0.006238,               0.006238
                     40,                 1.0038,                0.56081,                  1.154,                0.89522,                0.92917,                0.95614,                 0.6718,                 1.1033,                0.58346,                 1.2426,               0.006139,               0.006139,               0.006139
                     41,                0.98213,                0.54924,                 1.1322,                0.92848,                0.89532,                0.94549,                 0.6538,                 1.1167,                0.61098,                 1.2632,                0.00604,                0.00604,                0.00604
                     42,                0.97106,                 0.5651,                  1.139,                0.89034,                0.90716,                0.93915,                0.62716,                 1.1653,                0.64639,                 1.3476,               0.005941,               0.005941,               0.005941
                     43,                0.97286,                0.54953,                 1.1356,                0.93712,                0.88594,                0.95069,                0.65094,                  1.131,                0.61951,                 1.2597,               0.005842,               0.005842,               0.005842
                     44,                0.99588,                0.56252,                 1.1389,                0.91739,                0.88064,                0.93731,                0.64512,                 1.1183,                0.62051,                 1.2876,               0.005743,               0.005743,               0.005743
                     45,                 0.9806,                0.54046,                 1.1349,                0.90899,                0.93103,                0.96125,                0.66713,                 1.0981,                0.54857,                 1.2344,               0.005644,               0.005644,               0.005644
                     46,                0.96854,                0.54353,                 1.1229,                0.92594,                0.96172,                0.96862,                 0.6717,                  1.093,                 0.5458,                 1.2567,               0.005545,               0.005545,               0.005545
                     47,                0.95909,                0.53989,                 1.1222,                0.95316,                0.93634,                0.97182,                0.67982,                 1.1015,                0.51883,                 1.2643,               0.005446,               0.005446,               0.005446
                     48,                0.95761,                0.54406,                 1.1142,                0.94409,                0.94066,                0.97658,                0.68799,                 1.0843,                0.51724,                 1.2231,               0.005347,               0.005347,               0.005347
                     49,                 0.9395,                0.52889,                 1.1036,                 0.9381,                0.94164,                0.97332,                 0.6855,                 1.1272,                0.53091,                 1.2712,               0.005248,               0.005248,               0.005248
                     50,                0.92385,                0.51603,                 1.1022,                0.92494,                0.93634,                0.95948,                0.66898,                 1.1628,                0.57842,                 1.2676,               0.005149,               0.005149,               0.005149
                     51,                0.92185,                0.51677,                 1.0948,                0.95514,                 0.9037,                0.96411,                0.66454,                  1.124,                 0.5571,                 1.2653,                0.00505,                0.00505,                0.00505
                     52,                0.91401,                0.50768,                 1.0952,                0.93569,                0.91777,                 0.9653,                0.66862,                  1.109,                0.57352,                  1.251,               0.004951,               0.004951,               0.004951
                     53,                0.91973,                0.50979,                 1.0975,                0.94008,                0.91247,                0.96439,                0.67718,                 1.1022,                0.56735,                 1.2424,               0.004852,               0.004852,               0.004852
                     54,                 0.9062,                0.48858,                 1.0868,                0.93692,                0.94552,                0.97217,                0.67555,                 1.1039,                0.50416,                 1.2388,               0.004753,               0.004753,               0.004753
                     55,                0.90495,                0.49328,                 1.0917,                0.93581,                0.93369,                0.96208,                 0.6728,                 1.1035,                0.55175,                 1.2449,               0.004654,               0.004654,               0.004654
                     56,                0.89944,                0.49358,                 1.0868,                0.93704,                0.94748,                0.96484,                0.69124,                 1.0834,                0.50461,                 1.2403,               0.004555,               0.004555,               0.004555
                     57,                0.89661,                0.50106,                 1.0926,                0.91442,                0.87857,                0.93138,                0.66056,                 1.0737,                0.61176,                 1.2333,               0.004456,               0.004456,               0.004456
                     58,                0.90069,                0.49274,                 1.0888,                0.91923,                0.93369,                0.96219,                0.68736,                 1.0679,                0.50498,                 1.2032,               0.004357,               0.004357,               0.004357
                     59,                0.88238,                0.48052,                 1.0851,                0.94743,                0.91247,                0.96688,                0.68233,                 1.0758,                0.52261,                 1.2262,               0.004258,               0.004258,               0.004258
                     60,                0.88027,                0.48131,                 1.0829,                0.92283,                0.95158,                 0.9643,                0.68535,                 1.0645,                0.51235,                 1.2182,               0.004159,               0.004159,               0.004159
                     61,                0.88006,                  0.485,                 1.0817,                 0.9218,                0.94695,                0.96383,                 0.6833,                 1.0696,                 0.5092,                  1.226,                0.00406,                0.00406,                0.00406
                     62,                0.87933,                0.48842,                 1.0763,                0.94437,                0.91777,                0.96365,                0.67237,                 1.0873,                0.52132,                 1.2338,               0.003961,               0.003961,               0.003961
                     63,                0.86203,                0.46541,                 1.0681,                0.93588,                0.92915,                 0.9632,                0.69275,                 1.0835,                 0.5234,                 1.2172,               0.003862,               0.003862,               0.003862
                     64,                0.85452,                0.47035,                 1.0589,                0.93281,                0.93103,                0.96661,                0.69204,                 1.0876,                0.55107,                 1.2304,               0.003763,               0.003763,               0.003763
                     65,                0.85478,                0.45775,                 1.0675,                0.94317,                0.94695,                0.96296,                0.67473,                 1.1132,                0.54672,                  1.253,               0.003664,               0.003664,               0.003664
                     66,                0.83796,                0.45134,                 1.0626,                0.94589,                0.92739,                0.96843,                0.69981,                 1.0813,                 0.5412,                 1.2565,               0.003565,               0.003565,               0.003565
                     67,                0.84078,                0.46009,                  1.062,                0.94042,                0.93634,                0.96728,                 0.6951,                 1.0752,                0.50416,                  1.239,               0.003466,               0.003466,               0.003466
                     68,                0.82851,                0.44856,                 1.0562,                0.92349,                0.96286,                0.96928,                0.69216,                 1.0691,                0.47064,                 1.2074,               0.003367,               0.003367,               0.003367
                     69,                0.82296,                0.45045,                 1.0513,                 0.9491,                 0.9443,                0.97075,                0.68938,                 1.0698,                0.47916,                 1.2011,               0.003268,               0.003268,               0.003268
                     70,                0.79967,                0.43558,                 1.0429,                0.92798,                0.94164,                0.96502,                0.68577,                 1.1097,                0.51021,                 1.2368,               0.003169,               0.003169,               0.003169
                     71,                0.80409,                0.42445,                 1.0392,                 0.9316,                0.91512,                0.94404,                0.67764,                  1.085,                0.51623,                 1.2433,                0.00307,                0.00307,                0.00307
                     72,                0.81304,                0.43886,                 1.0392,                0.91758,                0.91544,                0.95473,                 0.6968,                 1.0818,                0.56721,                 1.2497,               0.002971,               0.002971,               0.002971
                     73,                0.81405,                0.43464,                 1.0416,                0.93376,                0.93482,                0.96922,                0.71061,                 1.0659,                0.51467,                 1.2131,               0.002872,               0.002872,               0.002872
                     74,                 0.7726,                0.42009,                 1.0299,                0.93799,                0.92283,                0.96968,                0.71049,                 1.0873,                0.54865,                 1.2199,               0.002773,               0.002773,               0.002773
                     75,                0.79705,                0.42749,                  1.029,                0.93847,                0.93044,                0.96535,                0.69259,                 1.0939,                0.51806,                  1.221,               0.002674,               0.002674,               0.002674
                     76,                0.78514,                0.42566,                 1.0314,                0.94344,                 0.9443,                0.97337,                 0.7069,                 1.0751,                0.49866,                 1.2328,               0.002575,               0.002575,               0.002575
                     77,                0.76816,                0.41961,                 1.0353,                0.91328,                0.94978,                0.97177,                0.70993,                 1.0716,                0.51603,                 1.2213,               0.002476,               0.002476,               0.002476
                     78,                0.79353,                0.41458,                 1.0396,                0.94473,                0.93899,                0.97361,                0.71231,                 1.0706,                0.48678,                 1.2177,               0.002377,               0.002377,               0.002377
                     79,                0.76726,                0.40427,                  1.027,                0.93677,                0.94315,                0.96897,                0.70467,                 1.0906,                0.48623,                 1.2565,               0.002278,               0.002278,               0.002278
                     80,                0.76954,                0.40927,                 1.0222,                0.93238,                0.94695,                0.97237,                    0.7,                 1.1112,                0.49789,                 1.2608,               0.002179,               0.002179,               0.002179
                     81,                0.75609,                0.40278,                 1.0167,                0.94179,                0.94412,                0.96899,                0.71083,                 1.0698,                0.48234,                 1.2252,                0.00208,                0.00208,                0.00208
                     82,                0.76517,                0.40911,                 1.0264,                0.94165,                0.94167,                0.97414,                0.71098,                 1.0758,                0.49199,                 1.2215,               0.001981,               0.001981,               0.001981
                     83,                0.74761,                0.40185,                 1.0117,                0.95199,                0.93634,                0.96935,                0.69709,                 1.0846,                0.49873,                 1.2194,               0.001882,               0.001882,               0.001882
                     84,                0.72981,                0.38908,                 1.0084,                0.94387,                0.93677,                0.96779,                0.70716,                 1.0672,                 0.5027,                 1.2359,               0.001783,               0.001783,               0.001783
                     85,                0.75406,                0.39885,                 1.0222,                0.95169,                0.94058,                0.96852,                0.70367,                 1.0629,                0.49682,                 1.2296,               0.001684,               0.001684,               0.001684
                     86,                0.73197,                0.38359,                 1.0074,                0.94931,                0.94375,                0.97434,                0.70749,                 1.0706,                0.47013,                 1.2259,               0.001585,               0.001585,               0.001585
                     87,                0.72495,                0.38372,                 1.0082,                0.95448,                0.94562,                0.97922,                0.71514,                 1.0768,                0.46472,                 1.2363,               0.001486,               0.001486,               0.001486
                     88,                0.72717,                0.38976,                 1.0071,                0.95173,                0.95225,                0.97145,                0.70693,                 1.0699,                0.48323,                 1.2404,               0.001387,               0.001387,               0.001387
                     89,                0.70144,                0.37849,                 1.0047,                0.94704,                0.94861,                0.97491,                0.71324,                 1.0937,                0.47532,                 1.2545,               0.001288,               0.001288,               0.001288
                     90,                0.66306,                0.32459,                0.96975,                0.94746,                0.95669,                0.97422,                0.71433,                 1.0801,                0.46299,                 1.2417,               0.001189,               0.001189,               0.001189
                     91,                0.64235,                0.31272,                0.94911,                0.95171,                0.94099,                0.97162,                0.70401,                 1.0977,                0.46977,                 1.2754,                0.00109,                0.00109,                0.00109
                     92,                0.64166,                0.31542,                0.94822,                0.95956,                0.93634,                0.96865,                0.70412,                 1.0759,                 0.4652,                 1.2661,               0.000991,               0.000991,               0.000991
                     93,                  0.635,                0.30319,                 0.9557,                0.95551,                0.93634,                0.96783,                 0.7077,                 1.0817,                0.47598,                  1.245,               0.000892,               0.000892,               0.000892
                     94,                0.60705,                0.30277,                0.93361,                0.94914,                0.94049,                0.96832,                0.70792,                 1.0776,                0.48085,                 1.2427,               0.000793,               0.000793,               0.000793
                     95,                 0.6021,                0.29088,                0.93298,                 0.9567,                0.93772,                0.96816,                0.70859,                 1.0806,                0.47438,                 1.2493,               0.000694,               0.000694,               0.000694
                     96,                0.60774,                0.29755,                0.93491,                0.96148,                0.93103,                0.96736,                0.70544,                 1.0901,                0.47555,                 1.2699,               0.000595,               0.000595,               0.000595
                     97,                0.59187,                0.29779,                0.92717,                0.95853,                0.93369,                0.96983,                0.70594,                 1.0881,                0.47047,                 1.2649,               0.000496,               0.000496,               0.000496
                     98,                0.59288,                 0.2966,                0.93119,                0.97223,                0.93103,                 0.9731,                0.70859,                 1.0774,                0.46558,                 1.2491,               0.000397,               0.000397,               0.000397
                     99,                0.58834,                0.28494,                 0.9299,                0.96184,                0.93604,                0.97098,                0.70736,                 1.0759,                0.46276,                 1.2563,               0.000298,               0.000298,               0.000298
